x,amplitude,cost
-5.0,0.81,0.1
-4.9,0.81,0.1
-4.8,0.81,0.1
-4.7,0.81,0.1
-4.6,0.81,0.1
-4.5,0.81,0.1
-4.4,0.81,0.1
-4.3,0.81,0.1
-4.2,0.81,0.1
-4.1,0.81,0.1
-4.0,0.81,0.1
-3.9,0.81,0.1
-3.8,0.81,0.1
-3.6999999999999997,0.81,0.1
-3.6,0.81,0.1
-3.5,0.81,0.1
-3.4,0.81,0.1
-3.3,0.81,0.1
-3.1999999999999997,0.81,0.1
-3.1,0.81,0.1
-3.0,0.81,0.10000000000000002
-2.9,0.81,0.10000000000000016
-2.8,0.81,0.10000000000000207
-2.6999999999999997,0.8100000000000006,0.10000000000002604
-2.5999999999999996,0.8100000000000058,0.10000000000029897
-2.5,0.8100000000000601,0.10000000000313065
-2.4,0.8100000000005738,0.10000000002989753
-2.3,0.8100000000049976,0.10000000026039654
-2.1999999999999997,0.8100000000396966,0.10000000206840318
-2.0999999999999996,0.8100000002875767,0.10000001498425637
-1.9999999999999998,0.8100000019000001,0.10000009900000001
-1.9,0.8100000114486322,0.10000059653399022
-1.7999999999999998,0.8100000629149131,0.10000327819810269
-1.6999999999999997,0.8100003153215125,0.10001642991038365
-1.5999999999999999,0.8100014412973926,0.10007509917992785
-1.4999999999999998,0.8100060083275544,0.10031306548835667
-1.4,0.8100228430242578,0.10119024179027192
-1.2999999999999998,0.8100792051828594,0.10412700689635518
-1.1999999999999997,0.8102504687803258,0.1130507417117115
-1.0999999999999999,0.8107223598530088,0.1376387502357183
-0.9999999999999998,0.8119000000000001,0.19899999999999926
-0.8999999999999998,0.8145577825461388,0.3374844589830157
-0.7999999999999998,0.8199713417447441,0.6195593856471875
-0.6999999999999997,0.82989544241297,1.1366572625705358
-0.5999999999999998,0.8462037536412927,1.9864061107831474
-0.4999999999999998,0.8700832755431991,3.23065488356669
-0.39999999999999974,0.9009397175413161,4.83843791399489
-0.2999999999999997,0.9355317551214355,6.640865135274795
-0.19999999999999973,0.9680351165095139,8.334461333916778
-0.09999999999999973,0.9914485913440654,9.554426601611828
-2.7755575615628914e-16,1.0,10.0
0.09999999999999973,0.9914485913440747,9.554426601612311
0.19999999999999973,0.9680351165095139,8.334461333916778
0.2999999999999997,0.9355317551214547,6.640865135275798
0.39999999999999974,0.9009397175413161,4.83843791399489
0.4999999999999998,0.8700832755432145,3.2306548835674906
0.5999999999999998,0.8462037536412927,1.9864061107831474
0.6999999999999997,0.8298954424129628,1.1366572625701645
0.7999999999999998,0.8199713417447441,0.6195593856471875
0.8999999999999998,0.8145577825461366,0.33748445898290635
0.9999999999999998,0.8119000000000001,0.19899999999999926
1.0999999999999999,0.8107223598530092,0.1376387502357395
1.1999999999999997,0.8102504687803258,0.1130507417117115
1.2999999999999998,0.8100792051828595,0.10412700689635793
1.4,0.8100228430242578,0.10119024179027192
1.4999999999999998,0.8100060083275544,0.10031306548835692
1.5999999999999999,0.8100014412973926,0.10007509917992785
1.6999999999999997,0.8100003153215125,0.10001642991038363
1.7999999999999998,0.8100000629149131,0.10000327819810269
1.9,0.8100000114486322,0.10000059653399022
1.9999999999999998,0.8100000019000001,0.10000009900000001
2.0999999999999996,0.8100000002875767,0.10000001498425637
2.1999999999999997,0.8100000000396966,0.10000000206840318
2.3,0.8100000000049976,0.10000000026039654
2.4,0.8100000000005738,0.10000000002989753
2.5,0.8100000000000601,0.10000000000313065
2.5999999999999996,0.8100000000000058,0.10000000000029897
2.6999999999999997,0.8100000000000006,0.10000000000002604
2.8,0.81,0.10000000000000207
2.9,0.81,0.10000000000000016
3.0,0.81,0.10000000000000002
3.1,0.81,0.1
3.1999999999999997,0.81,0.1
3.3,0.81,0.1
3.4,0.81,0.1
3.5,0.81,0.1
3.6,0.81,0.1
3.6999999999999997,0.81,0.1
3.8,0.81,0.1
3.9,0.81,0.1
4.0,0.81,0.1
4.1,0.81,0.1
4.2,0.81,0.1
4.3,0.81,0.1
4.4,0.81,0.1
4.5,0.81,0.1
4.6,0.81,0.1
4.7,0.81,0.1
4.8,0.81,0.1
4.9,0.81,0.1
5.0,0.81,0.1
